                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4289,                 3.3401,                 2.8151,                0.54424,                0.33333,                0.36723,                0.19434,                 1.5208,                 2.2514,                 1.4268,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.5782,                 2.4133,                 2.2734,                0.64914,                0.77083,                0.81149,                0.39383,                 1.6492,                 1.9546,                 2.1657,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.0771,                 1.1956,                 1.1271,                      1,                      1,                  0.995,                 0.7239,                0.91873,                 2.6237,                 1.0074,             0.00021564,             0.00021564,             0.00021564
                      4,                 0.8369,                0.73897,                0.99213,                0.92308,                      1,                0.94642,                0.74842,                0.79464,                 4.0136,                 1.0425,             0.00029109,             0.00029109,             0.00029109
                      5,                0.89864,                0.63864,                 1.0362,                0.81356,                      1,                0.86553,                0.68245,                0.97467,                 4.2708,                 1.0122,             0.00036495,             0.00036495,             0.00036495
                      6,                0.88415,                0.62625,                0.97189,                   0.64,                      1,                0.71239,                0.42397,                0.97405,                  5.125,                 1.0284,             0.00043723,             0.00043723,             0.00043723
                      7,                0.85668,                0.60778,                0.99243,                0.10396,                      1,                0.15696,                0.11271,                0.73758,                  15.79,                 1.0229,             0.00050792,             0.00050792,             0.00050792
                      8,                0.83834,                 0.5782,                0.97015,                0.12014,                0.70833,                0.16883,                0.12719,                0.82288,                 20.363,                 1.0856,             0.00057703,             0.00057703,             0.00057703
                      9,                0.78329,                0.56663,                0.96764,                0.16395,                      1,                 0.2815,                0.20878,                0.85047,                  7.664,                 1.1572,             0.00064456,             0.00064456,             0.00064456
                     10,                0.76734,                0.53182,                0.96699,                      1,                      1,                  0.995,                 0.7696,                0.88162,                 5.0153,                  1.122,              0.0007105,              0.0007105,              0.0007105
                     11,                 0.8309,                0.60036,                0.97428,                0.15075,                  0.625,                0.20379,                0.14623,                 0.9823,                   22.6,                 1.1597,             0.00077486,             0.00077486,             0.00077486
                     12,                0.80423,                0.56278,                0.95388,                0.10022,                 0.9375,                0.14264,                0.09222,                0.99321,                 52.921,                 1.0548,             0.00083763,             0.00083763,             0.00083763
                     13,                0.84796,                0.61645,                0.98816,                0.06711,                0.83333,                 0.0743,                0.05071,                  0.976,                 88.974,                 1.0863,             0.00089882,             0.00089882,             0.00089882
                     14,                0.78467,                0.51083,                0.98309,                0.16552,                    0.5,                0.29207,                0.14949,                0.94289,                 15.036,                 1.1839,             0.00095843,             0.00095843,             0.00095843
                     15,                 0.9412,                 0.6111,                 1.0192,                 0.0785,                0.60417,                0.05595,                0.03324,                 1.8072,                 23.439,                 1.8402,              0.0010165,              0.0010165,              0.0010165
                     16,                0.88374,                0.60164,                0.97902,                0.86828,                0.39583,                0.48114,                0.23228,                  2.105,                 1.9961,                 1.9372,              0.0010729,              0.0010729,              0.0010729
                     17,                0.97501,                0.59734,                0.96686,                0.68945,                    0.5,                0.52062,                0.27619,                 2.1037,                 2.0807,                 1.9008,              0.0011277,              0.0011277,              0.0011277
                     18,                0.91865,                0.62861,                0.99746,                0.60554,                0.63972,                0.61885,                0.34215,                 2.0015,                 1.8587,                 2.0772,               0.001181,               0.001181,               0.001181
                     19,                0.87714,                0.60958,                0.95615,                0.76079,                0.59645,                0.65666,                0.33495,                 1.8745,                 2.0396,                 2.0073,              0.0012327,              0.0012327,              0.0012327
                     20,                0.76601,                0.56005,                0.96311,                0.60656,                0.72917,                0.76667,                0.31842,                 2.0471,                 2.3253,                 2.3459,              0.0012828,              0.0012828,              0.0012828
                     21,                0.84881,                0.56853,                0.96561,                0.57293,                0.54167,                0.58241,                0.23193,                 1.8239,                 3.4835,                 2.8102,              0.0013313,              0.0013313,              0.0013313
                     22,                0.79263,                0.51848,                 0.9455,                0.75767,                0.72917,                0.79982,                0.36255,                 1.6558,                 3.3847,                 2.4413,              0.0013783,              0.0013783,              0.0013783
                     23,                0.74611,                 0.5117,                0.95871,                0.80533,                 0.9375,                0.94591,                0.65142,                 1.2004,                 2.1395,                 1.7739,              0.0014236,              0.0014236,              0.0014236
                     24,                0.73163,                0.52114,                 0.9581,                0.81566,                      1,                0.97278,                0.71317,                0.94322,                 1.7085,                 1.0912,              0.0014674,              0.0014674,              0.0014674
                     25,                0.80922,                0.52229,                0.92055,                0.82143,                0.95833,                0.85779,                0.66086,                0.83958,                  2.171,                 1.0776,              0.0015096,              0.0015096,              0.0015096
                     26,                0.74787,                0.50301,                0.94919,                0.85366,                0.72917,                0.88047,                0.68181,                0.84487,                 2.1314,                 1.1745,               0.001505,               0.001505,               0.001505
