filename,action,column,tips_detected,yolo_liquid_tips,green_liquid_tips,liquid_detected,tip_1_yolo_liquid,tip_1_yolo_fill,tip_1_yolo_conf,tip_1_green_ratio,tip_1_green_height,tip_2_yolo_liquid,tip_2_yolo_fill,tip_2_yolo_conf,tip_2_green_ratio,tip_2_green_height,tip_3_yolo_liquid,tip_3_yolo_fill,tip_3_yolo_conf,tip_3_green_ratio,tip_3_green_height,tip_4_yolo_liquid,tip_4_yolo_fill,tip_4_yolo_conf,tip_4_green_ratio,tip_4_green_height,tip_5_yolo_liquid,tip_5_yolo_fill,tip_5_yolo_conf,tip_5_green_ratio,tip_5_green_height,tip_6_yolo_liquid,tip_6_yolo_fill,tip_6_yolo_conf,tip_6_green_ratio,tip_6_green_height,tip_7_yolo_liquid,tip_7_yolo_fill,tip_7_yolo_conf,tip_7_green_ratio,tip_7_green_height,tip_8_yolo_liquid,tip_8_yolo_fill,tip_8_yolo_conf,tip_8_green_ratio,tip_8_green_height,avg_yolo_fill,max_yolo_fill,avg_green,tip_9_yolo_liquid,tip_9_yolo_fill,tip_9_yolo_conf,tip_9_green_ratio,tip_9_green_height
20260326_122126_095201_before_aspirate_col_A1_tips_empty.jpg,before_aspirate,A1,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0018,0.0105,NO,0.0000,0.0000,0.0005,0.0068,NO,0.0000,0.0000,0.0019,0.0200,NO,0.0000,0.0000,0.0016,0.0339,0.0000,0.0000,0.0007,,,,,
20260326_122222_669107_before_aspirate_col_A2_tips_empty.jpg,before_aspirate,A2,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0015,0.0136,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0007,0.0068,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,,,,,
20260326_122318_895441_before_aspirate_col_A3_tips_empty.jpg,before_aspirate,A3,8,0,0,NO,NO,0.0000,0.0000,0.0007,0.0070,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0018,0.0174,NO,0.0000,0.0000,0.0039,0.0316,NO,0.0000,0.0000,0.0013,0.0101,NO,0.0000,0.0000,0.0025,0.0438,NO,0.0000,0.0000,0.0019,0.0370,0.0000,0.0000,0.0015,,,,,
20260326_122415_279112_before_aspirate_col_A4_tips_empty.jpg,before_aspirate,A4,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0016,0.0172,NO,0.0000,0.0000,0.0008,0.0071,NO,0.0000,0.0000,0.0008,0.0070,NO,0.0000,0.0000,0.0017,0.0172,NO,0.0000,0.0000,0.0014,0.0170,NO,0.0000,0.0000,0.0021,0.0203,0.0000,0.0000,0.0010,,,,,
20260326_122511_343439_before_aspirate_col_A5_tips_empty.jpg,before_aspirate,A5,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0012,0.0103,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0025,0.0435,NO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,,,,,
20260326_122607_600895_before_aspirate_col_A6_tips_empty.jpg,before_aspirate,A6,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0008,0.0073,NO,0.0000,0.0000,0.0007,0.0068,NO,0.0000,0.0000,0.0012,0.0105,NO,0.0000,0.0000,0.0022,0.0205,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0020,0.0233,NO,0.0000,0.0000,0.0009,0.0101,0.0000,0.0000,0.0010,,,,,
20260326_122703_488908_before_aspirate_col_A7_tips_empty.jpg,before_aspirate,A7,8,1,0,NO,YES,0.1757,0.4330,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0010,0.0069,NO,0.0000,0.0000,0.0015,0.0069,NO,0.0000,0.0000,0.0018,0.0164,NO,0.0000,0.0000,0.0023,0.0356,NO,0.0000,0.0000,0.0000,0.0000,0.0220,0.1757,0.0008,,,,,
20260326_122759_685088_before_aspirate_col_A8_tips_empty.jpg,before_aspirate,A8,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0007,0.0068,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0016,0.0169,NO,0.0000,0.0000,0.0015,0.0164,NO,0.0000,0.0000,0.0019,0.0165,NO,0.0000,0.0000,0.0017,0.0134,0.0000,0.0000,0.0009,,,,,
20260326_122855_883969_before_aspirate_col_A9_tips_empty.jpg,before_aspirate,A9,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0011,0.0100,NO,0.0000,0.0000,0.0017,0.0203,NO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,,,,,
20260326_122953_913898_before_aspirate_col_A10_tips_empty.jpg,before_aspirate,A10,8,0,0,NO,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0000,0.0000,NO,0.0000,0.0000,0.0010,0.0101,NO,0.0000,0.0000,0.0026,0.0170,NO,0.0000,0.0000,0.0007,0.0068,NO,0.0000,0.0000,0.0016,0.0203,NO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,,,,,
