iteration,phase,aspirate_speed,dispense_speed,air_gap,blow_out,accuracy,ei_value,best_so_far
0,INITIAL,10.0,102.93,1,0,80.5800,,80.5800
1,INITIAL,76.85,41.77,0,1,49.4300,,80.5800
2,INITIAL,115.3,22.87,0,1,62.6600,,80.5800
3,INITIAL,174.37,127.45,1,1,58.5700,,80.5800
4,INITIAL,138.13,197.46,0,0,90.4800,,90.4800
5,BO,110.32,200.0,0,0,87.3200,1.826553,90.4800
6,BO,148.93,153.69,0,0,80.4400,1.932243,90.4800
7,BO,184.22,200.0,0,0,98.9100,1.447007,98.9100
8,BO,200.0,200.0,0,0,63.6300,1.585026,98.9100
9,BO,184.22,200.0,0,0,73.8100,0.612986,98.9100
10,BO,91.65,200.0,0,0,57.1100,0.638188,98.9100
11,BO,158.1,193.58,0,0,42.9500,0.375147,98.9100
12,BO,184.22,200.0,0,0,58.0900,0.519093,98.9100
