iteration,timestamp,phase,aspirate_speed,dispense_speed,air_gap,blow_out,accuracy_%,ei,best_so_far_%,protocol_file
0,2026-03-27 01:29:25,INITIAL,10.0,102.93,1,0,57.17,,57.17,iter_000_asp10_disp102.9_agon_booff_20260327_012925.py
1,2026-03-27 01:29:26,INITIAL,76.85,41.77,0,1,73.82,,73.82,iter_001_asp76.8_disp41.8_agoff_boon_20260327_012925.py
2,2026-03-27 01:29:26,INITIAL,115.3,22.87,0,1,79.66,,79.66,iter_002_asp115.3_disp22.9_agoff_boon_20260327_012926.py
3,2026-03-27 01:29:27,INITIAL,174.37,127.45,1,1,82.75,,82.75,iter_003_asp174.4_disp127.5_agon_boon_20260327_012926.py
4,2026-03-27 01:29:27,INITIAL,138.13,197.46,0,0,46.60,,82.75,iter_004_asp138.1_disp197.5_agoff_booff_20260327_012927.py
5,2026-03-27 01:29:28,BO,200.0,30.73,1,1,84.04,2.987220,84.04,iter_005_asp200_disp30.7_agon_boon_20260327_012928.py
6,2026-03-27 01:29:29,BO,200.0,1.0,0,1,44.09,2.500236,84.04,iter_006_asp200_disp1_agoff_boon_20260327_012929.py
7,2026-03-27 01:29:30,BO,188.17,75.1,1,1,80.14,3.595705,84.04,iter_007_asp188.2_disp75.1_agon_boon_20260327_012930.py
8,2026-03-27 01:29:32,BO,159.64,15.38,1,1,47.80,2.568657,84.04,iter_008_asp159.6_disp15.4_agon_boon_20260327_012931.py
9,2026-03-27 01:29:33,BO,200.0,43.43,1,1,51.77,2.245121,84.04,iter_009_asp200_disp43.4_agon_boon_20260327_012932.py
10,2026-03-27 01:29:33,BO,200.0,30.73,1,1,97.84,1.185784,97.84,iter_010_asp200_disp30.7_agon_boon_20260327_012933.py
11,2026-03-27 01:29:36,BO,200.0,29.87,1,1,61.40,0.993900,97.84,iter_011_asp200_disp29.9_agon_boon_20260327_012935.py
12,2026-03-27 01:29:37,BO,200.0,31.18,1,1,75.34,0.545706,97.84,iter_012_asp200_disp31.2_agon_boon_20260327_012936.py
13,2026-03-27 01:29:38,BO,200.0,31.3,1,1,56.73,0.505361,97.84,iter_013_asp200_disp31.3_agon_boon_20260327_012938.py
14,2026-03-27 01:29:39,BO,200.0,30.76,1,1,60.36,0.229723,97.84,iter_014_asp200_disp30.8_agon_boon_20260327_012939.py
15,2026-03-27 01:29:40,BO,200.0,30.78,1,1,80.58,0.145404,97.84,iter_015_asp200_disp30.8_agon_boon_20260327_012940.py
0,2026-03-27 02:06:22,INITIAL,10.0,102.93,1,0,80.58,,80.58,iter_000_asp10_disp102.9_agon_booff_20260327_020622.py
1,2026-03-27 02:06:23,INITIAL,76.85,41.77,0,1,49.43,,80.58,iter_001_asp76.8_disp41.8_agoff_boon_20260327_020622.py
2,2026-03-27 02:06:23,INITIAL,115.3,22.87,0,1,62.66,,80.58,iter_002_asp115.3_disp22.9_agoff_boon_20260327_020623.py
3,2026-03-27 02:06:24,INITIAL,174.37,127.45,1,1,58.57,,80.58,iter_003_asp174.4_disp127.5_agon_boon_20260327_020623.py
4,2026-03-27 02:06:24,INITIAL,138.13,197.46,0,0,90.48,,90.48,iter_004_asp138.1_disp197.5_agoff_booff_20260327_020624.py
5,2026-03-27 02:06:26,BO,110.32,200.0,0,0,87.32,1.826553,90.48,iter_005_asp110.3_disp200_agoff_booff_20260327_020625.py
6,2026-03-27 02:06:27,BO,148.93,153.69,0,0,80.44,1.932243,90.48,iter_006_asp148.9_disp153.7_agoff_booff_20260327_020626.py
7,2026-03-27 02:06:28,BO,184.22,200.0,0,0,98.91,1.447007,98.91,iter_007_asp184.2_disp200_agoff_booff_20260327_020627.py
8,2026-03-27 02:06:29,BO,200.0,200.0,0,0,63.63,1.585026,98.91,iter_008_asp200_disp200_agoff_booff_20260327_020628.py
9,2026-03-27 02:06:30,BO,184.22,200.0,0,0,73.81,0.612986,98.91,iter_009_asp184.2_disp200_agoff_booff_20260327_020629.py
10,2026-03-27 02:06:30,BO,91.65,200.0,0,0,57.11,0.638188,98.91,iter_010_asp91.7_disp200_agoff_booff_20260327_020630.py
11,2026-03-27 02:06:32,BO,158.1,193.58,0,0,42.95,0.375147,98.91,iter_011_asp158.1_disp193.6_agoff_booff_20260327_020631.py
12,2026-03-27 02:06:33,BO,184.22,200.0,0,0,58.09,0.519093,98.91,iter_012_asp184.2_disp200_agoff_booff_20260327_020632.py
