iteration,phase,aspirate_speed,dispense_speed,air_gap,blow_out,accuracy,ei_value,best_so_far
0,INITIAL,9.04,102.44,1,0,26.5862,,26.5862
1,INITIAL,76.23,40.98,0,1,98.4075,,98.4075
2,INITIAL,114.88,21.98,0,1,88.8348,,98.4075
3,INITIAL,174.25,127.09,1,1,54.7967,,98.4075
4,INITIAL,137.82,197.45,0,0,27.7097,,98.4075
5,BO,21.48,7.82,0,1,55.4219,4.177596,98.4075
6,BO,94.35,60.89,0,1,39.9489,3.957687,98.4075
7,BO,93.59,25.2,0,1,16.4517,0.613662,98.4075
8,BO,76.23,40.98,0,1,45.5406,0.844932,98.4075
9,BO,76.23,40.98,0,1,82.2239,0.348760,98.4075
10,BO,76.23,40.98,0,1,26.6300,0.920435,98.4075
11,BO,76.23,40.98,0,1,45.3520,0.401722,98.4075
12,BO,76.23,40.98,0,1,25.7260,0.303386,98.4075
13,BO,114.88,21.98,0,1,6.0156,0.242740,98.4075
14,BO,76.23,40.98,0,1,5.1665,0.251023,98.4075
15,BO,76.23,40.98,0,1,31.6728,0.242123,98.4075
16,BO,76.23,40.98,0,1,66.9868,0.189282,98.4075
17,BO,76.23,40.98,0,1,3.3846,0.210310,98.4075
18,BO,76.23,40.98,0,1,74.3364,0.205055,98.4075
19,BO,76.23,40.98,0,1,57.7640,0.256308,98.4075
